identifier,prdkindid,sensor,beginPosition,endPosition,pysical,totalQualityCode,size,processingLevel,version
LANCEMODIS:946602825,29002002,TERRA/MODIS,2020-02-07 02:40:00.000000,2020-02-07 02:45:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.0921459197998,,
LAADS:5166774203,28002002,AQUA(CMR)/MODIS,2020-02-07 05:40:00.000000,2020-02-07 05:45:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.93198776245117,,
LAADS:5166783150,28002002,AQUA(CMR)/MODIS,2020-02-07 05:45:00.000000,2020-02-07 05:50:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.593017578125,,
LANCEMODIS:946668398,28002002,AQUA(CMR)/MODIS,2020-02-07 05:40:00.000000,2020-02-07 05:45:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.93289756774902,,
LANCEMODIS:946668423,28002002,AQUA(CMR)/MODIS,2020-02-07 05:45:00.000000,2020-02-07 05:50:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.59361934661865,,
LAADS:5165680187,29002002,TERRA/MODIS,2020-02-07 02:40:00.000000,2020-02-07 02:45:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.1634206771851,,
LANCEMODIS:947192748,29002002,TERRA/MODIS,2020-02-08 01:45:00.000000,2020-02-08 01:50:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.3426303863525,,
LANCEMODIS:947225271,29002002,TERRA/MODIS,2020-02-08 03:20:00.000000,2020-02-08 03:25:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,6.2545690536499,,
LAADS:5167593872,28002002,AQUA(CMR)/MODIS,2020-02-08 04:45:00.000000,2020-02-08 04:50:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.61628437042236,,
LAADS:5167593801,28002002,AQUA(CMR)/MODIS,2020-02-08 04:50:00.000000,2020-02-08 04:55:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.21751594543457,,
LANCEMODIS:947249134,28002002,AQUA(CMR)/MODIS,2020-02-08 04:45:00.000000,2020-02-08 04:50:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.63008594512939,,
LANCEMODIS:947249006,28002002,AQUA(CMR)/MODIS,2020-02-08 04:50:00.000000,2020-02-08 04:55:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.22053146362305,,
LAADS:5167593006,29002002,TERRA/MODIS,2020-02-08 01:45:00.000000,2020-02-08 01:50:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.3401346206665,,
LAADS:5167593894,29002002,TERRA/MODIS,2020-02-08 03:20:00.000000,2020-02-08 03:25:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,6.25131607055664,,
LANCEMODIS:947806013,29002002,TERRA/MODIS,2020-02-09 02:25:00.000000,2020-02-09 02:30:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.18572998046875,,
LANCEMODIS:947863379,28002002,AQUA(CMR)/MODIS,2020-02-09 05:30:00.000000,2020-02-09 05:35:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.07430362701416,,
LAADS:5168079310,29002002,TERRA/MODIS,2020-02-09 02:25:00.000000,2020-02-09 02:30:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.21752643585205,,
LANCEMODIS:948419142,29002002,TERRA/MODIS,2020-02-10 03:10:00.000000,2020-02-10 03:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,4.82741165161133,,
LANCEMODIS:948445859,28002002,AQUA(CMR)/MODIS,2020-02-10 04:35:00.000000,2020-02-10 04:40:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.6888742446899,,
