City,Date,Cases, Population ,Square km,PopDense,temperature,pm10,humidity,no2
CITY OF MAKATI,5/19/2020,1,"510,383.00",21.57,23661.70607,29.7,52,81.8,5.5
CITY OF MAKATI,3/3/2020,4,"510,383.00",21.57,23661.70607,25.4,4,75.2,2.1
CITY OF MAKATI,4/26/2020,1,"510,383.00",21.57,23661.70607,30.2,9,69.7,4.6
CITY OF MAKATI,4/11/2020,11,"510,383.00",21.57,23661.70607,29,10,72.7,3.2
CITY OF MAKATI,4/25/2020,2,"510,383.00",21.57,23661.70607,30,9,70,5.1
CITY OF MAKATI,3/1/2020,5,"510,383.00",21.57,23661.70607,27.2,10,69.7,2.2
CITY OF MAKATI,3/28/2020,10,"510,383.00",21.57,23661.70607,29.3,15,68.1,3.2
CITY OF MAKATI,4/9/2020,7,"510,383.00",21.57,23661.70607,29.8,10,71,3.7
CITY OF MAKATI,3/30/2020,9,"510,383.00",21.57,23661.70607,29.3,18,64,2.3
CITY OF MAKATI,3/13/2020,14,"510,383.00",21.57,23661.70607,29.1,14,64.8,4.7
CITY OF MAKATI,4/6/2020,12,"510,383.00",21.57,23661.70607,29.1,13,67.1,6
CITY OF MAKATI,3/24/2020,8,"510,383.00",21.57,23661.70607,28,9,69.2,2.2
CITY OF MAKATI,5/18/2020,2,"510,383.00",21.57,23661.70607,30.4,56,79.4,6.4
CITY OF MAKATI,3/29/2020,7,"510,383.00",21.57,23661.70607,29.7,13,66.3,2.8
CITY OF MAKATI,3/6/2020,3,"510,383.00",21.57,23661.70607,28,12,69.2,2
CITY OF MAKATI,4/10/2020,7,"510,383.00",21.57,23661.70607,28.8,7,72.8,2.3
CITY OF MAKATI,4/12/2020,3,"510,383.00",21.57,23661.70607,28.7,19,77,4.4
CITY OF MAKATI,2/28/2020,1,"510,383.00",21.57,23661.70607,27.2,8,66.7,2.3
CITY OF MAKATI,4/5/2020,6,"510,383.00",21.57,23661.70607,29.2,19,64.2,5.5
CITY OF MAKATI,2/29/2020,1,"510,383.00",21.57,23661.70607,27.2,7,68.2,3.6
CITY OF MAKATI,4/7/2020,6,"510,383.00",21.57,23661.70607,29.4,18,70.5,3.7
CITY OF MAKATI,3/18/2020,6,"510,383.00",21.57,23661.70607,27.3,11,69,1.6
CITY OF MAKATI,3/2/2020,1,"510,383.00",21.57,23661.70607,27,8,66.5,5.9
CITY OF MAKATI,4/3/2020,5,"510,383.00",21.57,23661.70607,29.1,13,61.6,1.9
CITY OF MAKATI,5/5/2020,2,"510,383.00",21.57,23661.70607,31.5,10,69.2,3.2
CITY OF MAKATI,5/1/2020,3,"510,383.00",21.57,23661.70607,30.2,11,66.2,4.6
CITY OF MAKATI,4/17/2020,2,"510,383.00",21.57,23661.70607,29.6,11,71.5,3.7
CITY OF MAKATI,2/26/2020,2,"510,383.00",21.57,23661.70607,26.1,15,77.1,6
CITY OF MAKATI,4/27/2020,1,"510,383.00",21.57,23661.70607,29.9,6,72.7,4.2
CITY OF MAKATI,5/15/2020,1,"510,383.00",21.57,23661.70607,26.7,42,90.5,6
CITY OF MAKATI,3/8/2020,5,"510,383.00",21.57,23661.70607,28.8,12,78,5
CITY OF MAKATI,3/25/2020,12,"510,383.00",21.57,23661.70607,28,9,64,1.9
CITY OF MAKATI,4/2/2020,16,"510,383.00",21.57,23661.70607,29.1,11,65.2,2
CITY OF MAKATI,3/17/2020,8,"510,383.00",21.57,23661.70607,26.6,10,73,3.1
CITY OF MAKATI,4/8/2020,16,"510,383.00",21.57,23661.70607,29.1,20,70.5,6.4
CITY OF MAKATI,3/27/2020,8,"510,383.00",21.57,23661.70607,28.8,12,70.5,2.8
CITY OF MAKATI,3/12/2020,9,"510,383.00",21.57,23661.70607,28.6,15,64.8,3.5
CITY OF MAKATI,3/23/2020,6,"510,383.00",21.57,23661.70607,28.6,12,68.7,1.9
CITY OF MAKATI,5/10/2020,2,"510,383.00",21.57,23661.70607,30.1,60,73,7.8
CITY OF MAKATI,4/22/2020,3,"510,383.00",21.57,23661.70607,30.8,27,65.2,4.6
CITY OF MAKATI,3/14/2020,16,"510,383.00",21.57,23661.70607,28.8,16,70,4.8
CITY OF MAKATI,4/16/2020,5,"510,383.00",21.57,23661.70607,29.2,19,75,6
CITY OF MAKATI,3/15/2020,13,"510,383.00",21.57,23661.70607,27.7,11,70,3.4
CITY OF MAKATI,5/9/2020,2,"510,383.00",21.57,23661.70607,30,22,75.3,3.7
CITY OF MAKATI,4/24/2020,1,"510,383.00",21.57,23661.70607,30.4,16,66.1,6
CITY OF MAKATI,4/18/2020,5,"510,383.00",21.57,23661.70607,28.8,9,74,3.7
CITY OF MAKATI,3/22/2020,6,"510,383.00",21.57,23661.70607,29,7,69.2,1.4
CITY OF MAKATI,4/1/2020,12,"510,383.00",21.57,23661.70607,29.8,15,66.7,2.4
CITY OF MAKATI,4/21/2020,2,"510,383.00",21.57,23661.70607,30.5,9,66.8,4.4
CITY OF MAKATI,4/19/2020,6,"510,383.00",21.57,23661.70607,30,10,68.3,4.6
CITY OF MAKATI,5/3/2020,1,"510,383.00",21.57,23661.70607,29.5,11,73.8,3.1
CITY OF MAKATI,3/10/2020,6,"510,383.00",21.57,23661.70607,29.1,35,80.7,23.4
CITY OF MAKATI,3/11/2020,13,"510,383.00",21.57,23661.70607,28.3,17,74.2,5.9
CITY OF MAKATI,4/20/2020,4,"510,383.00",21.57,23661.70607,30.3,13,68,4.6
CITY OF MAKATI,4/29/2020,2,"510,383.00",21.57,23661.70607,30,9,67.8,3.7
CITY OF MAKATI,4/14/2020,6,"510,383.00",21.57,23661.70607,27.7,7,72.6,3.2
CITY OF MAKATI,4/4/2020,12,"510,383.00",21.57,23661.70607,28.7,13,64.2,3.2
CITY OF MAKATI,4/13/2020,5,"510,383.00",21.57,23661.70607,28.6,17,73.6,5.1
CITY OF MAKATI,5/2/2020,6,"510,383.00",21.57,23661.70607,30.5,10,64.2,5.2
CITY OF MAKATI,3/20/2020,17,"510,383.00",21.57,23661.70607,28.6,11,73.2,3.2
CITY OF MAKATI,4/15/2020,6,"510,383.00",21.57,23661.70607,29,16,74,3.7
CITY OF MAKATI,3/31/2020,12,"510,383.00",21.57,23661.70607,31.9,11,56.2,2.3
CITY OF MAKATI,5/4/2020,3,"510,383.00",21.57,23661.70607,31.3,8,71.3,5.5
CITY OF MAKATI,3/26/2020,8,"510,383.00",21.57,23661.70607,28.8,12,64.5,2.3
CITY OF MAKATI,3/9/2020,10,"510,383.00",21.57,23661.70607,28.6,20,78.7,10.1
CITY OF MAKATI,3/5/2020,3,"510,383.00",21.57,23661.70607,27.4,12,68,3.2
CITY OF MAKATI,3/21/2020,13,"510,383.00",21.57,23661.70607,29,19,68.5,2.8
CITY OF MAKATI,3/19/2020,16,"510,383.00",21.57,23661.70607,28.6,25,70.8,1.4
CITY OF MAKATI,5/8/2020,1,"510,383.00",21.57,23661.70607,31.9,14,69,3.7
CITY OF MAKATI,4/28/2020,2,"510,383.00",21.57,23661.70607,29.5,14,68,5.1
CITY OF MAKATI,4/30/2020,1,"510,383.00",21.57,23661.70607,29.7,8,67.5,3.1
CITY OF MAKATI,3/7/2020,6,"510,383.00",21.57,23661.70607,28.7,17,72.8,3.6
CITY OF MAKATI,3/16/2020,13,"510,383.00",21.57,23661.70607,27,8,74,4.7
CITY OF MALABON,3/17/2020,1,"365,525.00",19.76,18498.22874,26.6,10,73,3.1
CITY OF MALABON,3/30/2020,3,"365,525.00",19.76,18498.22874,29.3,18,64,2.3
CITY OF MALABON,3/11/2020,1,"365,525.00",19.76,18498.22874,28.3,17,74.2,5.9
CITY OF MALABON,4/4/2020,1,"365,525.00",19.76,18498.22874,28.7,13,64.2,3.2
CITY OF MALABON,3/10/2020,1,"365,525.00",19.76,18498.22874,29.1,35,80.7,23.4
CITY OF MALABON,5/11/2020,1,"365,525.00",19.76,18498.22874,31.5,50,69.7,5.5
CITY OF MALABON,5/16/2020,1,"365,525.00",19.76,18498.22874,28.3,26,82.7,5.1
CITY OF MALABON,4/10/2020,1,"365,525.00",19.76,18498.22874,28.8,7,72.8,2.3
CITY OF MALABON,3/16/2020,1,"365,525.00",19.76,18498.22874,27,8,74,4.7
CITY OF MALABON,4/19/2020,1,"365,525.00",19.76,18498.22874,30,10,68.3,4.6
